,actual_kwh,actual_temperature,date,time,dow,month
2012-11-01 15:00:00-07:00,,64.0,2012-11-01,15:00:00,3,11
2012-11-01 15:15:00-07:00,,,2012-11-01,15:15:00,3,11
2012-11-01 15:30:00-07:00,,,2012-11-01,15:30:00,3,11
2012-11-01 15:45:00-07:00,,,2012-11-01,15:45:00,3,11
2012-11-01 16:00:00-07:00,,64.0,2012-11-01,16:00:00,3,11
2012-11-01 16:15:00-07:00,,,2012-11-01,16:15:00,3,11
2012-11-01 16:30:00-07:00,,,2012-11-01,16:30:00,3,11
2012-11-01 16:45:00-07:00,,,2012-11-01,16:45:00,3,11
2012-11-01 17:00:00-07:00,,63.0,2012-11-01,17:00:00,3,11
2012-11-01 17:15:00-07:00,,,2012-11-01,17:15:00,3,11
2012-11-01 17:30:00-07:00,,,2012-11-01,17:30:00,3,11
2012-11-01 17:45:00-07:00,,,2012-11-01,17:45:00,3,11
2012-11-01 18:00:00-07:00,,62.1,2012-11-01,18:00:00,3,11
2012-11-01 18:15:00-07:00,,,2012-11-01,18:15:00,3,11
2012-11-01 18:30:00-07:00,,59.0,2012-11-01,18:30:00,3,11
2012-11-01 18:45:00-07:00,,,2012-11-01,18:45:00,3,11
2012-11-01 19:00:00-07:00,,57.9,2012-11-01,19:00:00,3,11
2012-11-01 19:15:00-07:00,,,2012-11-01,19:15:00,3,11
2012-11-01 19:30:00-07:00,,,2012-11-01,19:30:00,3,11
2012-11-01 19:45:00-07:00,,,2012-11-01,19:45:00,3,11
2012-11-01 20:00:00-07:00,,57.9,2012-11-01,20:00:00,3,11
2012-11-01 20:15:00-07:00,,,2012-11-01,20:15:00,3,11
2012-11-01 20:30:00-07:00,,,2012-11-01,20:30:00,3,11
2012-11-01 20:45:00-07:00,,,2012-11-01,20:45:00,3,11
2012-11-01 21:00:00-07:00,,57.0,2012-11-01,21:00:00,3,11
2012-11-01 21:15:00-07:00,,,2012-11-01,21:15:00,3,11
2012-11-01 21:30:00-07:00,,,2012-11-01,21:30:00,3,11
2012-11-01 21:45:00-07:00,,,2012-11-01,21:45:00,3,11
2012-11-01 22:00:00-07:00,,55.9,2012-11-01,22:00:00,3,11
2012-11-01 22:15:00-07:00,,,2012-11-01,22:15:00,3,11
2012-11-01 22:30:00-07:00,,,2012-11-01,22:30:00,3,11
2012-11-01 22:45:00-07:00,,,2012-11-01,22:45:00,3,11
2012-11-01 23:00:00-07:00,,55.9,2012-11-01,23:00:00,3,11
2012-11-01 23:15:00-07:00,,,2012-11-01,23:15:00,3,11
2012-11-01 23:30:00-07:00,,,2012-11-01,23:30:00,3,11
2012-11-01 23:45:00-07:00,,,2012-11-01,23:45:00,3,11
2012-11-02 00:00:00-07:00,,55.9,2012-11-02,00:00:00,4,11
2012-11-02 00:15:00-07:00,45.6,,2012-11-02,00:15:00,4,11
2012-11-02 00:30:00-07:00,45.9,,2012-11-02,00:30:00,4,11
2012-11-02 00:45:00-07:00,46.8,,2012-11-02,00:45:00,4,11
2012-11-02 01:00:00-07:00,45.9,55.0,2012-11-02,01:00:00,4,11
2012-11-02 01:15:00-07:00,47.4,,2012-11-02,01:15:00,4,11
2012-11-02 01:30:00-07:00,45.3,,2012-11-02,01:30:00,4,11
2012-11-02 01:45:00-07:00,45.9,,2012-11-02,01:45:00,4,11
2012-11-02 02:00:00-07:00,45.3,54.0,2012-11-02,02:00:00,4,11
2012-11-02 02:15:00-07:00,46.5,,2012-11-02,02:15:00,4,11
2012-11-02 02:30:00-07:00,46.2,,2012-11-02,02:30:00,4,11
2012-11-02 02:45:00-07:00,44.4,,2012-11-02,02:45:00,4,11
2012-11-02 03:00:00-07:00,43.2,53.1,2012-11-02,03:00:00,4,11
2012-11-02 03:15:00-07:00,45.6,,2012-11-02,03:15:00,4,11
2012-11-02 03:30:00-07:00,44.4,,2012-11-02,03:30:00,4,11
2012-11-02 03:45:00-07:00,43.5,,2012-11-02,03:45:00,4,11
2012-11-02 04:00:00-07:00,45.3,52.0,2012-11-02,04:00:00,4,11
2012-11-02 04:15:00-07:00,45.0,,2012-11-02,04:15:00,4,11
2012-11-02 04:30:00-07:00,43.8,,2012-11-02,04:30:00,4,11
2012-11-02 04:45:00-07:00,44.7,,2012-11-02,04:45:00,4,11
2012-11-02 05:00:00-07:00,46.2,52.0,2012-11-02,05:00:00,4,11
2012-11-02 05:15:00-07:00,43.5,,2012-11-02,05:15:00,4,11
2012-11-02 05:30:00-07:00,44.1,,2012-11-02,05:30:00,4,11
2012-11-02 05:45:00-07:00,46.5,,2012-11-02,05:45:00,4,11
2012-11-02 06:00:00-07:00,47.7,52.0,2012-11-02,06:00:00,4,11
2012-11-02 06:15:00-07:00,63.3,,2012-11-02,06:15:00,4,11
2012-11-02 06:30:00-07:00,65.7,,2012-11-02,06:30:00,4,11
2012-11-02 06:45:00-07:00,65.4,,2012-11-02,06:45:00,4,11
2012-11-02 07:00:00-07:00,64.2,51.8,2012-11-02,07:00:00,4,11
2012-11-02 07:15:00-07:00,68.1,,2012-11-02,07:15:00,4,11
2012-11-02 07:30:00-07:00,69.6,,2012-11-02,07:30:00,4,11
2012-11-02 07:45:00-07:00,67.2,,2012-11-02,07:45:00,4,11
2012-11-02 08:00:00-07:00,67.8,52.0,2012-11-02,08:00:00,4,11
2012-11-02 08:15:00-07:00,70.8,,2012-11-02,08:15:00,4,11
2012-11-02 08:30:00-07:00,70.2,,2012-11-02,08:30:00,4,11
2012-11-02 08:45:00-07:00,72.6,,2012-11-02,08:45:00,4,11
2012-11-02 09:00:00-07:00,75.3,55.0,2012-11-02,09:00:00,4,11
2012-11-02 09:15:00-07:00,80.4,,2012-11-02,09:15:00,4,11
2012-11-02 09:30:00-07:00,84.3,,2012-11-02,09:30:00,4,11
2012-11-02 09:45:00-07:00,84.6,,2012-11-02,09:45:00,4,11
2012-11-02 10:00:00-07:00,85.8,59.0,2012-11-02,10:00:00,4,11
2012-11-02 10:15:00-07:00,91.8,,2012-11-02,10:15:00,4,11
2012-11-02 10:30:00-07:00,91.5,,2012-11-02,10:30:00,4,11
2012-11-02 10:45:00-07:00,96.3,,2012-11-02,10:45:00,4,11
2012-11-02 11:00:00-07:00,96.0,59.0,2012-11-02,11:00:00,4,11
2012-11-02 11:15:00-07:00,96.3,,2012-11-02,11:15:00,4,11
2012-11-02 11:30:00-07:00,97.2,,2012-11-02,11:30:00,4,11
2012-11-02 11:45:00-07:00,88.8,,2012-11-02,11:45:00,4,11
2012-11-02 12:00:00-07:00,91.2,60.1,2012-11-02,12:00:00,4,11
2012-11-02 12:15:00-07:00,88.2,,2012-11-02,12:15:00,4,11
2012-11-02 12:30:00-07:00,88.2,,2012-11-02,12:30:00,4,11
2012-11-02 12:45:00-07:00,85.5,,2012-11-02,12:45:00,4,11
2012-11-02 13:00:00-07:00,89.4,62.1,2012-11-02,13:00:00,4,11
2012-11-02 13:15:00-07:00,90.6,,2012-11-02,13:15:00,4,11
2012-11-02 13:30:00-07:00,89.1,,2012-11-02,13:30:00,4,11
2012-11-02 13:45:00-07:00,87.9,,2012-11-02,13:45:00,4,11
2012-11-02 14:00:00-07:00,87.9,64.0,2012-11-02,14:00:00,4,11
2012-11-02 14:15:00-07:00,88.2,,2012-11-02,14:15:00,4,11
2012-11-02 14:30:00-07:00,92.4,64.4,2012-11-02,14:30:00,4,11
2012-11-02 14:45:00-07:00,90.6,,2012-11-02,14:45:00,4,11
2012-11-02 15:00:00-07:00,90.3,64.0,2012-11-02,15:00:00,4,11
2012-11-02 15:15:00-07:00,87.3,,2012-11-02,15:15:00,4,11
2012-11-02 15:30:00-07:00,83.7,,2012-11-02,15:30:00,4,11
2012-11-02 15:45:00-07:00,86.1,,2012-11-02,15:45:00,4,11
2012-11-02 16:00:00-07:00,83.4,63.0,2012-11-02,16:00:00,4,11
2012-11-02 16:15:00-07:00,82.5,,2012-11-02,16:15:00,4,11
2012-11-02 16:30:00-07:00,82.2,,2012-11-02,16:30:00,4,11
2012-11-02 16:45:00-07:00,78.6,,2012-11-02,16:45:00,4,11
2012-11-02 17:00:00-07:00,78.3,62.1,2012-11-02,17:00:00,4,11
2012-11-02 17:15:00-07:00,77.4,,2012-11-02,17:15:00,4,11
2012-11-02 17:30:00-07:00,74.1,,2012-11-02,17:30:00,4,11
2012-11-02 17:45:00-07:00,72.9,,2012-11-02,17:45:00,4,11
2012-11-02 18:00:00-07:00,70.5,60.1,2012-11-02,18:00:00,4,11
2012-11-02 18:15:00-07:00,60.3,,2012-11-02,18:15:00,4,11
2012-11-02 18:30:00-07:00,60.9,,2012-11-02,18:30:00,4,11
2012-11-02 18:45:00-07:00,60.9,,2012-11-02,18:45:00,4,11
2012-11-02 19:00:00-07:00,60.9,57.9,2012-11-02,19:00:00,4,11
2012-11-02 19:15:00-07:00,54.3,,2012-11-02,19:15:00,4,11
2012-11-02 19:30:00-07:00,54.0,,2012-11-02,19:30:00,4,11
2012-11-02 19:45:00-07:00,53.4,,2012-11-02,19:45:00,4,11
2012-11-02 20:00:00-07:00,56.1,57.9,2012-11-02,20:00:00,4,11
2012-11-02 20:15:00-07:00,54.6,,2012-11-02,20:15:00,4,11
2012-11-02 20:30:00-07:00,54.3,,2012-11-02,20:30:00,4,11
2012-11-02 20:45:00-07:00,54.6,,2012-11-02,20:45:00,4,11
2012-11-02 21:00:00-07:00,54.0,57.0,2012-11-02,21:00:00,4,11
2012-11-02 21:15:00-07:00,56.4,,2012-11-02,21:15:00,4,11
2012-11-02 21:30:00-07:00,52.8,,2012-11-02,21:30:00,4,11
2012-11-02 21:45:00-07:00,53.4,,2012-11-02,21:45:00,4,11
2012-11-02 22:00:00-07:00,54.0,57.0,2012-11-02,22:00:00,4,11
2012-11-02 22:15:00-07:00,52.5,,2012-11-02,22:15:00,4,11
2012-11-02 22:30:00-07:00,53.1,,2012-11-02,22:30:00,4,11
2012-11-02 22:45:00-07:00,50.4,,2012-11-02,22:45:00,4,11
2012-11-02 23:00:00-07:00,49.2,57.0,2012-11-02,23:00:00,4,11
2012-11-02 23:15:00-07:00,50.4,,2012-11-02,23:15:00,4,11
2012-11-02 23:30:00-07:00,51.0,,2012-11-02,23:30:00,4,11
2012-11-02 23:45:00-07:00,50.1,,2012-11-02,23:45:00,4,11
2012-11-03 00:00:00-07:00,51.0,54.0,2012-11-03,00:00:00,5,11
2012-11-03 00:15:00-07:00,51.0,,2012-11-03,00:15:00,5,11
2012-11-03 00:30:00-07:00,50.4,,2012-11-03,00:30:00,5,11
2012-11-03 00:45:00-07:00,50.1,,2012-11-03,00:45:00,5,11
2012-11-03 01:00:00-07:00,45.3,54.0,2012-11-03,01:00:00,5,11
2012-11-03 01:15:00-07:00,47.1,,2012-11-03,01:15:00,5,11
2012-11-03 01:30:00-07:00,47.7,,2012-11-03,01:30:00,5,11
2012-11-03 01:45:00-07:00,45.0,,2012-11-03,01:45:00,5,11
2012-11-03 02:00:00-07:00,45.6,53.1,2012-11-03,02:00:00,5,11
2012-11-03 02:15:00-07:00,48.0,,2012-11-03,02:15:00,5,11
2012-11-03 02:30:00-07:00,45.3,,2012-11-03,02:30:00,5,11
2012-11-03 02:45:00-07:00,43.5,,2012-11-03,02:45:00,5,11
2012-11-03 03:00:00-07:00,45.3,53.1,2012-11-03,03:00:00,5,11
2012-11-03 03:15:00-07:00,44.4,,2012-11-03,03:15:00,5,11
2012-11-03 03:30:00-07:00,43.2,,2012-11-03,03:30:00,5,11
2012-11-03 03:45:00-07:00,43.8,,2012-11-03,03:45:00,5,11
2012-11-03 04:00:00-07:00,44.7,52.0,2012-11-03,04:00:00,5,11
2012-11-03 04:15:00-07:00,43.8,,2012-11-03,04:15:00,5,11
2012-11-03 04:30:00-07:00,44.7,,2012-11-03,04:30:00,5,11
2012-11-03 04:45:00-07:00,44.7,,2012-11-03,04:45:00,5,11
2012-11-03 05:00:00-07:00,42.9,53.1,2012-11-03,05:00:00,5,11
2012-11-03 05:15:00-07:00,44.7,,2012-11-03,05:15:00,5,11
2012-11-03 05:30:00-07:00,44.7,,2012-11-03,05:30:00,5,11
2012-11-03 05:45:00-07:00,44.7,,2012-11-03,05:45:00,5,11
2012-11-03 06:00:00-07:00,43.8,53.1,2012-11-03,06:00:00,5,11
2012-11-03 06:15:00-07:00,45.9,,2012-11-03,06:15:00,5,11
2012-11-03 06:30:00-07:00,45.0,,2012-11-03,06:30:00,5,11
2012-11-03 06:45:00-07:00,43.5,,2012-11-03,06:45:00,5,11
2012-11-03 07:00:00-07:00,45.3,53.1,2012-11-03,07:00:00,5,11
2012-11-03 07:15:00-07:00,45.6,,2012-11-03,07:15:00,5,11
2012-11-03 07:30:00-07:00,44.1,,2012-11-03,07:30:00,5,11
2012-11-03 07:45:00-07:00,41.1,,2012-11-03,07:45:00,5,11
2012-11-03 08:00:00-07:00,43.2,54.0,2012-11-03,08:00:00,5,11
2012-11-03 08:15:00-07:00,41.4,,2012-11-03,08:15:00,5,11
2012-11-03 08:30:00-07:00,41.1,,2012-11-03,08:30:00,5,11
2012-11-03 08:45:00-07:00,42.6,,2012-11-03,08:45:00,5,11
2012-11-03 09:00:00-07:00,42.0,57.0,2012-11-03,09:00:00,5,11
2012-11-03 09:15:00-07:00,41.7,,2012-11-03,09:15:00,5,11
2012-11-03 09:30:00-07:00,43.5,,2012-11-03,09:30:00,5,11
2012-11-03 09:45:00-07:00,43.2,,2012-11-03,09:45:00,5,11
2012-11-03 10:00:00-07:00,43.5,57.9,2012-11-03,10:00:00,5,11
2012-11-03 10:15:00-07:00,43.5,,2012-11-03,10:15:00,5,11
2012-11-03 10:30:00-07:00,42.3,,2012-11-03,10:30:00,5,11
2012-11-03 10:45:00-07:00,43.8,,2012-11-03,10:45:00,5,11
2012-11-03 11:00:00-07:00,42.6,60.1,2012-11-03,11:00:00,5,11
2012-11-03 11:15:00-07:00,44.4,,2012-11-03,11:15:00,5,11
2012-11-03 11:30:00-07:00,43.5,,2012-11-03,11:30:00,5,11
2012-11-03 11:45:00-07:00,45.6,,2012-11-03,11:45:00,5,11
2012-11-03 12:00:00-07:00,43.2,63.0,2012-11-03,12:00:00,5,11
2012-11-03 12:15:00-07:00,42.9,,2012-11-03,12:15:00,5,11
2012-11-03 12:30:00-07:00,43.2,,2012-11-03,12:30:00,5,11
2012-11-03 12:45:00-07:00,45.3,,2012-11-03,12:45:00,5,11
2012-11-03 13:00:00-07:00,44.7,64.0,2012-11-03,13:00:00,5,11
2012-11-03 13:15:00-07:00,44.1,,2012-11-03,13:15:00,5,11
2012-11-03 13:30:00-07:00,42.3,,2012-11-03,13:30:00,5,11
2012-11-03 13:45:00-07:00,43.2,,2012-11-03,13:45:00,5,11
2012-11-03 14:00:00-07:00,42.6,66.0,2012-11-03,14:00:00,5,11
2012-11-03 14:15:00-07:00,43.8,,2012-11-03,14:15:00,5,11
2012-11-03 14:30:00-07:00,42.9,,2012-11-03,14:30:00,5,11
2012-11-03 14:45:00-07:00,42.9,,2012-11-03,14:45:00,5,11
2012-11-03 15:00:00-07:00,42.0,69.1,2012-11-03,15:00:00,5,11
2012-11-03 15:15:00-07:00,43.2,,2012-11-03,15:15:00,5,11
2012-11-03 15:30:00-07:00,43.8,,2012-11-03,15:30:00,5,11
2012-11-03 15:45:00-07:00,42.9,,2012-11-03,15:45:00,5,11
2012-11-03 16:00:00-07:00,43.2,70.0,2012-11-03,16:00:00,5,11
2012-11-03 16:15:00-07:00,45.0,,2012-11-03,16:15:00,5,11
2012-11-03 16:30:00-07:00,42.9,,2012-11-03,16:30:00,5,11
2012-11-03 16:45:00-07:00,43.5,,2012-11-03,16:45:00,5,11
2012-11-03 17:00:00-07:00,44.4,70.0,2012-11-03,17:00:00,5,11
2012-11-03 17:15:00-07:00,45.3,,2012-11-03,17:15:00,5,11
2012-11-03 17:30:00-07:00,42.6,,2012-11-03,17:30:00,5,11
2012-11-03 17:45:00-07:00,42.3,,2012-11-03,17:45:00,5,11
2012-11-03 18:00:00-07:00,46.8,64.9,2012-11-03,18:00:00,5,11
2012-11-03 18:15:00-07:00,44.1,,2012-11-03,18:15:00,5,11
2012-11-03 18:30:00-07:00,46.8,,2012-11-03,18:30:00,5,11
2012-11-03 18:45:00-07:00,46.2,,2012-11-03,18:45:00,5,11
2012-11-03 19:00:00-07:00,45.9,64.9,2012-11-03,19:00:00,5,11
2012-11-03 19:15:00-07:00,45.3,,2012-11-03,19:15:00,5,11
2012-11-03 19:30:00-07:00,45.9,,2012-11-03,19:30:00,5,11
2012-11-03 19:45:00-07:00,45.9,,2012-11-03,19:45:00,5,11
2012-11-03 20:00:00-07:00,44.1,63.0,2012-11-03,20:00:00,5,11
2012-11-03 20:15:00-07:00,46.5,,2012-11-03,20:15:00,5,11
2012-11-03 20:30:00-07:00,45.3,,2012-11-03,20:30:00,5,11
2012-11-03 20:45:00-07:00,45.6,,2012-11-03,20:45:00,5,11
2012-11-03 21:00:00-07:00,45.9,63.0,2012-11-03,21:00:00,5,11
2012-11-03 21:15:00-07:00,47.4,,2012-11-03,21:15:00,5,11
2012-11-03 21:30:00-07:00,44.1,,2012-11-03,21:30:00,5,11
2012-11-03 21:45:00-07:00,45.9,,2012-11-03,21:45:00,5,11
2012-11-03 22:00:00-07:00,44.4,62.1,2012-11-03,22:00:00,5,11
2012-11-03 22:15:00-07:00,46.8,,2012-11-03,22:15:00,5,11
2012-11-03 22:30:00-07:00,44.7,,2012-11-03,22:30:00,5,11
2012-11-03 22:45:00-07:00,45.0,,2012-11-03,22:45:00,5,11
2012-11-03 23:00:00-07:00,45.0,61.0,2012-11-03,23:00:00,5,11
2012-11-03 23:15:00-07:00,45.6,,2012-11-03,23:15:00,5,11
2012-11-03 23:30:00-07:00,44.7,,2012-11-03,23:30:00,5,11
2012-11-03 23:45:00-07:00,45.6,,2012-11-03,23:45:00,5,11
2012-11-04 00:00:00-07:00,45.3,60.1,2012-11-04,00:00:00,6,11
2012-11-04 00:15:00-07:00,45.9,,2012-11-04,00:15:00,6,11
2012-11-04 00:30:00-07:00,43.2,,2012-11-04,00:30:00,6,11
2012-11-04 00:45:00-07:00,45.6,,2012-11-04,00:45:00,6,11
2012-11-04 01:00:00-07:00,45.0,59.0,2012-11-04,01:00:00,6,11
2012-11-04 01:15:00-07:00,,,2012-11-04,01:15:00,6,11
2012-11-04 01:30:00-07:00,,,2012-11-04,01:30:00,6,11
2012-11-04 01:45:00-07:00,,,2012-11-04,01:45:00,6,11
2012-11-04 01:00:00-08:00,,57.9,2012-11-04,01:00:00,6,11
2012-11-04 01:15:00-08:00,45.6,,2012-11-04,01:15:00,6,11
2012-11-04 01:30:00-08:00,45.45,,2012-11-04,01:30:00,6,11
2012-11-04 01:45:00-08:00,43.8,,2012-11-04,01:45:00,6,11
2012-11-04 02:00:00-08:00,45.6,57.0,2012-11-04,02:00:00,6,11
2012-11-04 02:15:00-08:00,46.5,,2012-11-04,02:15:00,6,11
2012-11-04 02:30:00-08:00,44.1,,2012-11-04,02:30:00,6,11
2012-11-04 02:45:00-08:00,45.9,,2012-11-04,02:45:00,6,11
2012-11-04 03:00:00-08:00,44.4,55.9,2012-11-04,03:00:00,6,11
2012-11-04 03:15:00-08:00,45.3,,2012-11-04,03:15:00,6,11
2012-11-04 03:30:00-08:00,45.0,,2012-11-04,03:30:00,6,11
2012-11-04 03:45:00-08:00,45.0,,2012-11-04,03:45:00,6,11
2012-11-04 04:00:00-08:00,45.3,55.0,2012-11-04,04:00:00,6,11
2012-11-04 04:15:00-08:00,45.0,,2012-11-04,04:15:00,6,11
2012-11-04 04:30:00-08:00,45.6,,2012-11-04,04:30:00,6,11
2012-11-04 04:45:00-08:00,43.8,,2012-11-04,04:45:00,6,11
2012-11-04 05:00:00-08:00,46.2,55.0,2012-11-04,05:00:00,6,11
2012-11-04 05:15:00-08:00,44.4,,2012-11-04,05:15:00,6,11
2012-11-04 05:30:00-08:00,45.9,,2012-11-04,05:30:00,6,11
2012-11-04 05:45:00-08:00,43.8,,2012-11-04,05:45:00,6,11
2012-11-04 06:00:00-08:00,45.0,55.0,2012-11-04,06:00:00,6,11
2012-11-04 06:15:00-08:00,44.1,,2012-11-04,06:15:00,6,11
2012-11-04 06:30:00-08:00,44.1,,2012-11-04,06:30:00,6,11
2012-11-04 06:45:00-08:00,42.0,,2012-11-04,06:45:00,6,11
2012-11-04 07:00:00-08:00,39.6,55.9,2012-11-04,07:00:00,6,11
2012-11-04 07:15:00-08:00,42.0,,2012-11-04,07:15:00,6,11
2012-11-04 07:30:00-08:00,40.8,,2012-11-04,07:30:00,6,11
2012-11-04 07:45:00-08:00,43.5,,2012-11-04,07:45:00,6,11
2012-11-04 08:00:00-08:00,42.6,62.1,2012-11-04,08:00:00,6,11
2012-11-04 08:15:00-08:00,41.1,,2012-11-04,08:15:00,6,11
2012-11-04 08:30:00-08:00,42.6,,2012-11-04,08:30:00,6,11
2012-11-04 08:45:00-08:00,41.4,,2012-11-04,08:45:00,6,11
2012-11-04 09:00:00-08:00,41.7,63.0,2012-11-04,09:00:00,6,11
2012-11-04 09:15:00-08:00,41.1,,2012-11-04,09:15:00,6,11
2012-11-04 09:30:00-08:00,41.7,,2012-11-04,09:30:00,6,11
2012-11-04 09:45:00-08:00,42.6,,2012-11-04,09:45:00,6,11
2012-11-04 10:00:00-08:00,42.0,64.0,2012-11-04,10:00:00,6,11
2012-11-04 10:15:00-08:00,42.3,,2012-11-04,10:15:00,6,11
2012-11-04 10:30:00-08:00,42.9,,2012-11-04,10:30:00,6,11
2012-11-04 10:45:00-08:00,42.0,,2012-11-04,10:45:00,6,11
2012-11-04 11:00:00-08:00,42.3,64.9,2012-11-04,11:00:00,6,11
2012-11-04 11:15:00-08:00,44.1,,2012-11-04,11:15:00,6,11
2012-11-04 11:30:00-08:00,44.4,,2012-11-04,11:30:00,6,11
2012-11-04 11:45:00-08:00,43.8,,2012-11-04,11:45:00,6,11
2012-11-04 12:00:00-08:00,44.7,66.0,2012-11-04,12:00:00,6,11
2012-11-04 12:15:00-08:00,45.0,,2012-11-04,12:15:00,6,11
2012-11-04 12:30:00-08:00,42.9,,2012-11-04,12:30:00,6,11
2012-11-04 12:45:00-08:00,42.9,,2012-11-04,12:45:00,6,11
2012-11-04 13:00:00-08:00,43.8,68.0,2012-11-04,13:00:00,6,11
2012-11-04 13:15:00-08:00,45.3,,2012-11-04,13:15:00,6,11
2012-11-04 13:30:00-08:00,45.3,,2012-11-04,13:30:00,6,11
2012-11-04 13:45:00-08:00,44.7,,2012-11-04,13:45:00,6,11
2012-11-04 14:00:00-08:00,44.1,71.1,2012-11-04,14:00:00,6,11
2012-11-04 14:15:00-08:00,46.8,,2012-11-04,14:15:00,6,11
2012-11-04 14:30:00-08:00,45.9,,2012-11-04,14:30:00,6,11
2012-11-04 14:45:00-08:00,44.4,,2012-11-04,14:45:00,6,11
2012-11-04 15:00:00-08:00,44.4,71.1,2012-11-04,15:00:00,6,11
2012-11-04 15:15:00-08:00,45.0,,2012-11-04,15:15:00,6,11
2012-11-04 15:30:00-08:00,45.3,,2012-11-04,15:30:00,6,11
2012-11-04 15:45:00-08:00,45.0,,2012-11-04,15:45:00,6,11
2012-11-04 16:00:00-08:00,45.3,75.0,2012-11-04,16:00:00,6,11
2012-11-04 16:15:00-08:00,44.7,,2012-11-04,16:15:00,6,11
2012-11-04 16:30:00-08:00,43.8,,2012-11-04,16:30:00,6,11
2012-11-04 16:45:00-08:00,43.2,,2012-11-04,16:45:00,6,11
2012-11-04 17:00:00-08:00,45.0,71.1,2012-11-04,17:00:00,6,11
